Codigo,ID,Nombre del emplazamiento,Direccion,Municipio,Localidad,Provincia,Latitud,Longitud,Categoria
ARNQ0379,QC346,Ruta 22 Mudanza QC345(A),Luis Planas y el Cholar SN,NEUQUEN,COLONIA VALENTINA,NEUQUEN,-38.958872,-68.117742,C
ARNQ0380,QC355,Central Roldan TASA,Belisle 1634 entre Alumine y Darwin,NEUQUEN,NEUQUEN,NEUQUEN,-38.966498,-68.036586,B
ARNQ0383,QC055,Neuquen Centro(B),Tronador esq Aguado S/N,NEUQUEN,NEUQUEN,NEUQUEN,-38.955472,-68.033797,C
ARNQ0398,QC007,WQC007(K),Intendente Linares y Primeros Pobladores S/N,NEUQUEN,NEUQUEN,NEUQUEN,-38.955639,-68.045278,C
ARNQ0400,QC021,WQC021 - Nueva Cobertura(A),Raqui S/N entre Luan y Mara,NEUQUEN,NEUQUEN,NEUQUEN,-38.924026,-68.083135,C
ARNQ0401,QC023,WQC023 - Gobierno(A),Av. Argentina 302 entre Julio A. Roca y Gral. Manuel,NEUQUEN,NEUQUEN,NEUQUEN,-38.951642,-68.059572,C
ARNQ0402,QC024,WQC024 - Parque Industrial(A),Parque industrial Neuquén Este S/N,NEUQUEN,NEUQUEN,NEUQUEN,-38.897143,-68.087865,C
ARNQ0411,QC215,Shopping Alto Comahue(A),"Av. Dr. Ramón y Ruta N°7  Neuquén, Argentina 0",NEUQUEN,NEUQUEN,NEUQUEN,-38.941238,-68.065222,C
ARNQ0586,QC205,Micro Neuquen(A),Perito Moreno  328,NEUQUEN,NEUQUEN,NEUQUEN,-38.958156,-68.054533,C
ARNQ0588,QE053,Plottier - QE053(B),AV. GRAL LUIS MARIA OCAMPO S/N y FERNANDEZ ORO,PLOTTIER,PLOTTIER,NEUQUEN,-38.93873,-68.26798,B
ARRN0020,RN042,Rosas (Cipolletti),Lavalle y Fray Mocho,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.931667,-67.991943,A
ARRN0052,RN011,Cipolletti,Muñoz 55 entre Fernandez Oro y San Martin,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.941015,-67.994969,B
ARRN0150,RN171,Cipolletti,CONDARCO 211 -  MZ203A PARCELA 5 SECCION J E/GRAL PAZ Y S CABRAL,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.945,-67.986,B
ARRN0224,RN001,WRN001(B),ILLIA  (SECC F - MANZ 7 - PARC 14) S/N y PERON,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.916611,-67.971397,C
ARRN0252,RN002,WRN002(C),SAN LUIS S/N entre SAENZ PEÑA y AV. ALVEAR,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.922349,-68.008221,C
ARRN0256,RN003,WRN003(A),MAESTRO ESPINOZA s/n y Av. Circunvalación,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.938897,-67.964111,C
ARRN0269,RN072,Crown Casino(A),RUTA 22 s/n,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.946851,-68.014725,C
ARRN0277,RN073,Cipolletti Sur,COLONIA MARCONETTI s/n y CALLE: MASTROCOLA,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.980947,-67.974775,C
ARRN0293,RN005,Pollolin(A),San Luis s/n,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.907728,-68.006111,C
ARRN0317,RN006,BARRIO VILLARINO (TASA),Calle Arenales esq. Miguel Muñoz. s/n° DC. 03 - I - H - Qta. 16 A - Parc. 9 A - Secc. II xxxxxx,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.923579,-67.991721,B
ARRN0321,RN004,WRN004(J),Manuel Estrada 1080 y Paraguay,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.929992,-67.9824,B
ARRN0461,RN344,BARRIO FILLIPUZZI(A),Mariano Moreno S/N,CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.932658,-68.005375,B
ARRN0478,RN078,RN078(A)(A),"Calle Amancay esq El chañar, detrás Las Martinetas y opuesta Chimpay s/n",CIPOLLETTI,CIPOLLETTI,RIO NEGRO,-38.916431,-67.954128,B
ARNQ0487,NQ002,TASA ALTA BARDA 2(T),Cura Brochero s/n   y Cosquin,NEUQUEN,NEUQUEN,NEUQUEN,-38.932182,-68.068652,C
ARNQ0011,QE009,Senillosa,Olascoaga s/n entre San Martin y Neuquen,SENILLOSA,SENILLOSA,NEUQUEN,-39.00903,-68.427755,B
ARNQ0455,,(TASA) - NEUQUEN PARQUE INDUSTRIAL,CALLE CARLOS PELLEGRINI N° DEL2225 AL 2100,NEUQUEN,NEUQUEN,NEUQUEN,-38.91006,-68.07894,B
ARNQ0571,,SENILLOSA REP,Lote 09-RR-16-4479 S/N entre Cercania Puesto Ojo de agua y SENILLOSA,SENILLOSA,SENILLOSA,NEUQUEN,-38.96225,-68.50689,C
